,func,k,numPI,time_PI,ks,time_sym,time_ks,time_cov
174,00010101,3,2,8.440017700195312e-05,0.75,0.0007383823394775391,3.314018249511719e-05,0.0003750324249267578
175,00010011,3,2,8.368492126464844e-05,0.75,0.0007364749908447266,3.314018249511719e-05,0.0003733634948730469
176,01,1,1,3.409385681152344e-05,0.0,0.00020956993103027344,4.5299530029296875e-06,1.5020370483398438e-05
177,01,1,1,2.8371810913085938e-05,0.0,0.0003654956817626953,6.9141387939453125e-06,2.1696090698242188e-05
178,01000000,3,3,8.678436279296875e-05,1.125,0.0008032321929931641,8.58306884765625e-06,0.0003266334533691406
179,0111,2,2,2.2411346435546875e-05,1.5,0.0003643035888671875,5.4836273193359375e-06,0.0001499652862548828
180,01,1,1,1.430511474609375e-05,0.0,0.0001533031463623047,4.5299530029296875e-06,1.2874603271484375e-05
181,00000000101000000010000010100000,5,4,0.0002911090850830078,1.6875,0.001123666763305664,3.981590270996094e-05,0.0024013519287109375
182,0001,2,2,2.3603439331054688e-05,1.5,0.0004088878631591797,2.384185791015625e-05,0.0001811981201171875
183,00000010,3,3,6.389617919921875e-05,1.125,0.0005269050598144531,2.6941299438476562e-05,0.0003514289855957031
184,0001,2,2,2.4318695068359375e-05,1.5,0.00037550926208496094,3.838539123535156e-05,0.00021839141845703125
185,01,1,1,2.7418136596679688e-05,0.0,0.00031375885009765625,6.9141387939453125e-06,5.1975250244140625e-05
186,01110000111100000000000000000000,5,3,0.0006334781646728516,2.0625,0.0013110637664794922,1.9550323486328125e-05,0.002001523971557617
187,00001000000000000000000000000000,5,5,0.0003807544708251953,2.8125,0.005081653594970703,2.574920654296875e-05,0.021759748458862305
188,0111000000000000,4,3,0.00011420249938964844,1.6875,0.0007824897766113281,2.956390380859375e-05,0.0006983280181884766
189,01,1,1,1.4781951904296875e-05,0.0,0.00019741058349609375,2.1219253540039062e-05,1.2874603271484375e-05
190,0100,2,2,2.5987625122070312e-05,0.0,0.0002148151397705078,5.7220458984375e-06,3.838539123535156e-05
191,01110000,3,2,5.793571472167969e-05,0.75,0.00042247772216796875,7.3909759521484375e-06,0.00023293495178222656
192,0001,2,2,2.2411346435546875e-05,1.5,0.0004036426544189453,2.384185791015625e-05,0.00016617774963378906
193,00011111,3,2,3.719329833984375e-05,0.75,0.000415802001953125,7.62939453125e-06,0.00017905235290527344
194,0100110000000000,4,3,0.00024390220642089844,1.6875,0.0015606880187988281,3.361701965332031e-05,0.0017290115356445312
195,0010,2,2,4.0531158447265625e-05,0.0,0.0003209114074707031,9.298324584960938e-06,3.719329833984375e-05
196,01,1,1,1.4066696166992188e-05,0.0,0.00019812583923339844,2.1457672119140625e-05,1.239776611328125e-05
197,01,1,1,1.4066696166992188e-05,0.0,0.00019288063049316406,2.1696090698242188e-05,4.744529724121094e-05
198,01001100,3,2,7.605552673339844e-05,0.75,0.00046324729919433594,2.6226043701171875e-05,0.0002307891845703125
199,01111111,3,3,9.393692016601562e-05,2.625,0.0006854534149169922,2.5987625122070312e-05,0.0008451938629150391
